tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73088090	3.4136622000078205	1.756	5.169662200007821	2.994	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088100	2.86436410000897	1.356	4.22036410000897	2.312	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088110	3.0132478999876184	1.369	4.382247899987618	2.479	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088120	2.6853800999961095	1.398	4.083380099996109	2.324	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088130	3.176700800002436	1.322	4.498700800002436	2.674	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088140	2.518474399999832	2.1	4.6184743999998314	2.974	3692	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088150	3.036278700004914	1.289	4.3252787000049135	2.254	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088160	2.5390832999983104	1.175	3.71408329999831	2.06	3695	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088170	2.581143500006874	1.598	4.179143500006874	2.498	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088180	3.5082359000080032	1.739	5.247235900008003	2.759	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088190	2.5462553999968804	1.399	3.9452553999968805	2.278	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088200	2.549377999996068	2.51	5.059377999996068	3.43	3692	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088210	2.755476099991938	1.297	4.052476099991938	2.419	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088220	2.672949499989045	1.221	3.893949499989045	2.184	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088230	3.1629715000017313	1.501	4.663971500001731	2.464	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088240	2.78130709999823	1.156	3.93730709999823	2.064	3695	1639	1640	1	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088250	2.9945382999867434	1.311	4.305538299986743	2.286	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088260	2.5211991999967722	1.415	3.9361991999967723	2.39	3695	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088270	2.4380317000031937	1.342	3.7800317000031938	2.253	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088280	3.0005598999850918	1.348	4.348559899985092	2.382	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088290	2.3820043000014266	1.177	3.5590043000014266	2.068	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088300	3.305049799979315	1.404	4.709049799979315	2.537	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088310	2.5249821999896085	1.38	3.9049821999896084	2.346	3693	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088320	2.9206567000219366	1.228	4.148656700021936	2.302	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
